time	V(salida)	V(vin1)
1.845472946413015e-003	-2.316069e-001	-1.240691e-002
1.864446160698729e-003	-2.115175e-001	-1.131440e-002
1.883419374984443e-003	-1.878653e-001	-1.003055e-002
1.894580089270157e-003	-1.727692e-001	-9.213312e-003
1.905740803555872e-003	-1.570203e-001	-8.361747e-003
1.916901517841586e-003	-1.406185e-001	-7.475858e-003
1.928062232127300e-003	-1.235640e-001	-6.555644e-003
1.939222946413014e-003	-1.058567e-001	-5.601106e-003
1.950383660698728e-003	-8.749658e-002	-4.612245e-003
1.961544374984442e-003	-6.848364e-002	-3.589059e-003
1.965450624984442e-003	-6.181896e-002	-3.230566e-003
1.969914910698727e-003	-5.414070e-002	-2.817671e-003
1.974379196413012e-003	-4.643464e-002	-2.403376e-003
1.978843482127297e-003	-3.870079e-002	-1.987683e-003
1.983307767841583e-003	-3.093914e-002	-1.570592e-003
1.987772053555868e-003	-2.314970e-002	-1.152102e-003
1.992236339270153e-003	-1.533247e-002	-7.322125e-004
1.996700624984439e-003	-7.487441e-003	-3.109248e-004
1.998653749984438e-003	-4.059806e-003	-1.268758e-004
2.000000000000000e-003	-1.696804e-003	-7.347881e-018
