time	V(salida)	V(vin1)
1.496142589270157e-003	1.350125e-002	3.631542e-004
1.499490803555871e-003	4.112637e-003	4.763983e-005
1.502839017841586e-003	-5.271305e-003	-2.676864e-004
1.506187232127300e-003	-1.465057e-002	-5.828245e-004
1.509535446413014e-003	-2.402517e-002	-8.977744e-004
1.512883660698729e-003	-3.339508e-002	-1.212536e-003
1.516231874984443e-003	-4.276033e-002	-1.527110e-003
1.524602410698729e-003	-6.621185e-002	-2.314669e-003
1.532972946413014e-003	-8.930509e-002	-3.090558e-003
1.541343482127300e-003	-1.120400e-001	-3.854777e-003
1.549714017841586e-003	-1.344167e-001	-4.607326e-003
1.558084553555871e-003	-1.564351e-001	-5.348205e-003
1.566455089270157e-003	-1.780952e-001	-6.077415e-003
1.574825624984443e-003	-1.993970e-001	-6.794955e-003
1.589055535698729e-003	-2.345350e-001	-7.981417e-003
1.603285446413014e-003	-2.671597e-001	-9.084077e-003
1.617515357127300e-003	-2.972711e-001	-1.010293e-002
1.631745267841586e-003	-3.248692e-001	-1.103799e-002
1.645975178555872e-003	-3.499540e-001	-1.188924e-002
1.660205089270157e-003	-3.725256e-001	-1.265669e-002
1.674434999984443e-003	-3.925838e-001	-1.334034e-002
1.695919374984443e-003	-4.163140e-001	-1.414754e-002
1.717403749984443e-003	-4.322977e-001	-1.468719e-002
1.738888124984443e-003	-4.405349e-001	-1.495928e-002
1.760372499984443e-003	-4.410255e-001	-1.496381e-002
1.781856874984443e-003	-4.337696e-001	-1.470078e-002
1.803341249984443e-003	-4.187672e-001	-1.417019e-002
1.824825624984443e-003	-3.960182e-001	-1.337205e-002
1.839334553555872e-003	-3.761237e-001	-1.267874e-002
1.853843482127300e-003	-3.535873e-001	-1.189848e-002
1.868352410698729e-003	-3.284088e-001	-1.103125e-002
1.882861339270158e-003	-3.005883e-001	-1.007707e-002
1.897370267841586e-003	-2.701258e-001	-9.035934e-003
1.911879196413015e-003	-2.370213e-001	-7.907836e-003
1.926388124984443e-003	-2.012747e-001	-6.692780e-003
1.931689464270157e-003	-1.879325e-001	-6.240728e-003
1.936990803555871e-003	-1.744109e-001	-5.783041e-003
1.942292142841586e-003	-1.607098e-001	-5.319718e-003
1.947593482127300e-003	-1.468293e-001	-4.850759e-003
1.952894821413014e-003	-1.327693e-001	-4.376165e-003
1.958196160698728e-003	-1.185300e-001	-3.895935e-003
1.963497499984442e-003	-1.041112e-001	-3.410069e-003
1.965450624984442e-003	-9.878206e-002	-3.230566e-003
1.969914910698727e-003	-8.651765e-002	-2.817671e-003
1.974379196413012e-003	-7.420684e-002	-2.403376e-003
1.978843482127297e-003	-6.184964e-002	-1.987683e-003
1.983307767841583e-003	-4.944605e-002	-1.570592e-003
1.987772053555868e-003	-3.699606e-002	-1.152102e-003
1.992236339270153e-003	-2.449969e-002	-7.322125e-004
1.996700624984439e-003	-1.195692e-002	-3.109248e-004
1.998653749984438e-003	-6.477132e-003	-1.268758e-004
2.000000000000000e-003	-2.699367e-003	-7.347881e-018
